           A       B       C       D       E       F       G       H       I       J
  1        0       0       0       0       0       0       0       0       0       0
  2        0       0       0       0       0       0       0       0       0       0
  3        0       0       0       0       0       0       0       0       0       0
  4        0       0       0       0       0       0       0       0       0       0
  5        0       0       0       0       0       0       0       0       0       0
  6        0       0       0       0       0       0       0       0       0       0
  7        0       0       0       0       0       0       0       0       0       0
  8        0       0       0       0       0       0       0       0       0       0
  9        0       0       0       0       0       0       0       0       0       0
 10        0       0       0       0       0       0       0       0       0       0
[0.0] (ok) >            A       B       C       D       E       F       G       H       I       J
  1        0       0       0       0       0       0       0       0       0       0
  2        0       0       0       0       0       0       0       0       0       0
  3        0       0       0       0       0       0       0       0       0       0
  4        0       0       0       0       0       0       0       0       0       0
  5        0       0       0       0       0       0       0       0       0       0
  6        0       0       0       0       0       0       0       0       0       0
  7        0       0       0       0       0       0       0       0       0       0
  8        0       0       0       0       0       0       0       0       0       0
  9        0       0       0       0       0       0       0       0       0       0
 10        0       0       0       0       0       0       0       0       0       0
[0.0] (unrecognized cmd) >            A       B       C       D       E       F       G       H       I       J
  1        0       0       0       0       0       0       0       0       0       0
  2        0       0       0       0       0       0       0       0       0       0
  3        0       0       0       0       0       0       0       0       0       0
  4        0       0       0       0       0       0       0       0       0       0
  5        0       0       0       0       0       0       0       0       0       0
  6        0       0       0       0       0       0       0       0       0       0
  7        0       0       0       0       0       0       0       0       0       0
  8        0       0       0       0       0       0       0       0       0       0
  9        0       0       0       0       0       0       0       0       0       0
 10        0       0       0       0       0       0       0       0       0       0
[0.0] (ok) >            A       B       C       D       E       F       G       H       I       J
 11        0       0       0       0       0       0       0       0       0       0
 12        0       0       0       0       0       0       0       0       0       0
 13        0       0       0       0       0       0       0       0       0       0
 14        0       0       0       0       0       0       0       0       0       0
 15        0       0       0       0       0       0       0       0       0       0
 16        0       0       0       0       0       0       0       0       0       0
 17        0       0       0       0       0       0       0       0       0       0
 18        0       0       0       0       0       0       0       0       0       0
 19        0       0       0       0       0       0       0       0       0       0
 20        0       0       0       0       0       0       0       0       0       0
[0.0] (ok) >            K       L       M       N       O       P       Q       R       S       T
 11        0       0       0       0       0       0       0       0       0       0
 12        0       0       0       0       0       0       0       0       0       0
 13        0       0       0       0       0       0       0       0       0       0
 14        0       0       0       0       0       0       0       0       0       0
 15        0       0       0       0       0       0       0       0       0       0
 16        0       0       0       0       0       0       0       0       0       0
 17        0       0       0       0       0       0       0       0       0       0
 18        0       0       0       0       0       0       0       0       0       0
 19        0       0       0       0       0       0       0       0       0       0
 20        0       0       0       0       0       0       0       0       0       0
[0.0] (ok) >            K       L       M       N       O       P       Q       R       S       T
  1        0       0       0       0       0       0       0       0       0       0
  2        0       0       0       0       0       0       0       0       0       0
  3        0       0       0       0       0       0       0       0       0       0
  4        0       0       0       0       0       0       0       0       0       0
  5        0       0       0       0       0       0       0       0       0       0
  6        0       0       0       0       0       0       0       0       0       0
  7        0       0       0       0       0       0       0       0       0       0
  8        0       0       0       0       0       0       0       0       0       0
  9        0       0       0       0       0       0       0       0       0       0
 10        0       0       0       0       0       0       0       0       0       0
[0.0] (ok) >            U       V       W       X       Y       Z      AA      AB      AC      AD
  1        0       0       0       0       0       0       0       0       0       0
